Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-048,2000,1,2,2,1,1,0,1,1,100,0,3,1,2,1,3,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-292,2006,1.8,1.11,0.56,1.11,0,0,1.11,1.11,100,0,0.56,0,0.56,0.56,1.67,1.11,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-007,1999,10.6,4.62,3.02,1.7,2.36,0.57,1.89,3.68,51.3,1.79,1.32,0.47,0.85,2.36,6.98,2.36,0,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-150,1997,9.1,1.32,0.99,0.99,0.33,0,0.77,1.1,70,0.33,0.77,0.66,0.11,0.33,1.65,3.63,0,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-051,2002,6.7,2.09,1.04,1.04,0.75,0.3,0.9,2.54,35.3,1.64,0.9,0,0.9,0.9,2.99,0.45,0.15,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-249,1997,4.7,2.98,1.91,2.13,0.85,0,1.49,2.34,63.6,0.85,1.06,0.64,0.43,1.28,4.26,5.32,0,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-146,2005,0.1,20,10,0,20,0,0,0,,0,0,0,0,0,20,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-136,1996,24.1,1.91,1.45,1.33,0.54,0.04,1.24,2.03,61.2,0.79,1.12,0.41,0.71,1.2,3.11,3.2,0.04,Matches
9,Rayan Ait-Nouri,dz ALG,DF,Wolves,23-260,2001,22.7,2.51,1.5,1.72,0.66,0.13,1.28,1.94,65.9,0.66,1.37,0.22,1.15,0.75,3.26,2.25,0.04,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-310,1998,9.8,1.53,1.02,0.92,0.51,0.1,0.71,1.73,41.2,1.02,1.02,0.2,0.82,0.71,2.24,2.65,0,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-217,1995,19,0.79,0.53,0.42,0.21,0.16,0.37,0.63,58.3,0.26,0.58,0.42,0.16,0.37,1.16,2.89,0.16,Matches
12,Nathan Ake,nl NED,DF,Manchester City,30-003,1995,6.7,1.34,1.04,1.04,0.3,0,0.6,0.75,80,0.15,1.04,0.3,0.75,0.45,1.79,2.99,0.15,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-083,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,10,10,0,0,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,22-083,2002,1.1,1.82,0,1.82,0,0,0,0,,0,0,0,0,0,1.82,2.73,0,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-137,1998,21,2.86,2,1.81,0.67,0.38,1.9,3.71,51.3,1.81,1.1,0.33,0.76,1.29,4.14,1.95,0.19,Matches
16,Alisson,br BRA,GK,Liverpool,32-142,1992,17.9,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0,0,0.56,0,Matches
17,Miguel Almiron,py PAR,FW,Newcastle Utd,31-011,1994,1.7,1.76,1.18,1.18,0,0.59,1.18,1.76,66.7,0.59,1.18,0,1.18,0,1.76,0,0,Matches
18,Edson Alvarez,mx MEX,MF,West Ham,27-120,1997,14.7,2.52,1.36,1.43,0.68,0.41,1.02,2.11,48.4,1.09,1.29,0.48,0.82,0.88,3.4,2.04,0.07,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-018,2005,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
20,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-218,2006,0.3,3.33,0,0,3.33,0,3.33,3.33,100,0,0,0,0,0,3.33,0,0,Matches
21,Joachim Andersen,dk DEN,DF,Crystal Palace,28-266,1996,1,1,1,1,0,0,1,2,50,1,0,0,0,0,1,7,0,Matches
22,Joachim Andersen,dk DEN,DF,Fulham,28-266,1996,15.7,0.96,0.76,0.76,0.19,0,0.51,0.89,57.1,0.38,0.89,0.57,0.32,1.34,2.29,5.41,0,Matches
23,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-107,2002,18.2,3.24,2.14,1.98,0.93,0.33,1.76,3.35,52.5,1.59,1.7,0.33,1.37,1.04,4.29,2.31,0.11,Matches
24,Andre,br BRA,MF,Wolves,23-220,2001,15.6,3.27,2.24,1.54,1.41,0.32,1.35,2.18,61.8,0.83,1.79,0.45,1.35,1.28,4.55,1.47,0.06,Matches
25,Michail Antonio,jm JAM,FW,West Ham,34-330,1990,9.3,0.22,0.22,0,0.11,0.11,0.22,0.32,66.7,0.11,0.65,0,0.65,0,0.22,0.22,0,Matches
26,Antony,br BRA,"DF,MF",Manchester Utd,24-363,2000,1.6,3.75,1.88,2.5,1.25,0,1.25,3.13,40,1.88,1.25,0,1.25,1.25,5,0,0,Matches
27,Julian Araujo,mx MEX,DF,Bournemouth,23-192,2001,3.9,1.79,0.77,0.77,1.03,0,1.03,2.56,40,1.54,0.77,0,0.77,1.03,2.82,3.33,0,Matches
28,Cameron Archer,eng ENG,FW,Southampton,23-215,2001,11.7,0.77,0.43,0.43,0.17,0.17,0.09,0.51,16.7,0.43,0.43,0.09,0.34,0.17,0.94,0.51,0,Matches
29,Alphonse Areola,fr FRA,GK,West Ham,31-360,1993,13.1,0.15,0.15,0.15,0,0,0.15,0.23,66.7,0.08,0,0,0,0,0.15,0.61,0.08,Matches
30,Joe Aribo,ng NGA,MF,Southampton,28-215,1996,17.2,2.03,1.45,0.58,1.1,0.35,0.81,1.69,48.3,0.87,1.22,0.41,0.81,0.76,2.79,1.28,0.12,Matches
31,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-011,1997,13.9,0.86,0.22,0.14,0.5,0.22,0.22,1.01,21.4,0.79,0.43,0.07,0.36,0.22,1.08,0.58,0,Matches
32,Harrison Armstrong,eng ENG,MF,Everton,18-033,2007,0.5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,Matches
33,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-141,1994,18,0.06,0,0.06,0,0,0,0.06,0,0.06,0.06,0,0.06,0,0.06,0.44,0.11,Matches
34,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-031,1996,1,2,1,0,2,0,2,4,50,2,0,0,0,0,2,0,0,Matches
35,Brandon Austin,eng ENG,GK,Tottenham,26-044,1999,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-193,1997,2.9,1.38,0.69,0,1.03,0.34,0.69,1.03,66.7,0.34,0.34,0,0.34,0,1.38,1.38,0,Matches
37,Yasin Ayari,se SWE,MF,Brighton,21-138,2003,14.2,2.82,1.48,0.77,1.55,0.49,1.2,2.46,48.6,1.27,1.13,0.35,0.77,1.06,3.87,1.13,0,Matches
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-163,1991,0.2,5,0,0,0,5,0,0,,0,0,0,0,0,5,0,0,Matches
39,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-163,1991,13.8,1.59,0.87,0.51,0.87,0.22,0.36,1.23,29.4,0.87,1.01,0,1.01,0.87,2.46,1.09,0,Matches
40,Benoit Badiashile,fr FRA,DF,Chelsea,23-332,2001,2.8,2.14,1.43,1.07,1.07,0,0.71,0.71,100,0,0.71,0.71,0,2.14,4.29,2.14,0.36,Matches
41,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-196,1997,11.5,0.52,0.35,0.09,0.26,0.17,0.17,0.7,25,0.52,0.52,0,0.52,0.26,0.78,0.87,0,Matches
42,Carlos Baleba,cm CMR,MF,Brighton,21-049,2004,17.8,3.03,1.63,0.9,1.52,0.62,1.85,2.64,70.2,0.79,1.46,0.28,1.18,1.91,4.94,1.12,0,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,31-078,1993,6.2,2.1,0.48,0.65,1.45,0,1.45,2.1,69.2,0.65,1.45,0.48,0.97,1.45,3.55,0.81,0,Matches
44,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-074,1997,8.7,1.15,0.69,0.34,0.46,0.34,0.34,0.57,60,0.23,0.46,0.11,0.34,0.46,1.61,0.57,0.11,Matches
45,Calvin Bassey,ng NGA,DF,Fulham,25-052,1999,24,1.42,0.88,0.83,0.58,0,0.67,0.83,80,0.17,1.29,0.58,0.71,0.58,2,3.13,0.21,Matches
46,Jan Bednarek,pl POL,DF,Southampton,28-315,1996,20.8,1.3,0.67,0.77,0.53,0,0.58,1.2,48,0.63,1.68,1.3,0.38,2.31,3.61,6.25,0.19,Matches
47,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-239,1998,11,1.64,0.91,0.55,0.82,0.27,0.64,0.91,70,0.27,1.27,0.27,1,0.91,2.55,0.91,0.09,Matches
48,Rodrigo Bentancur,uy URU,MF,Tottenham,27-241,1997,10.5,2.48,1.24,1.05,1.24,0.19,1.24,2.1,59.1,0.86,1.33,0.29,1.05,2.19,4.67,1.81,0.1,Matches
49,Sander Berge,no NOR,MF,Fulham,27-007,1998,14.6,2.6,1.58,1.1,1.3,0.21,1.3,1.85,70.4,0.55,1.44,0.48,0.96,1.23,3.84,1.71,0,Matches
50,Lucas Bergvall,se SWE,MF,Tottenham,19-019,2006,7.4,2.97,1.89,1.22,1.35,0.41,1.62,2.7,60,1.08,1.35,0.81,0.54,1.89,4.86,2.3,0.27,Matches
51,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-067,2002,21.5,3.16,1.86,2,1.02,0.14,1.63,2.98,54.7,1.35,1.4,0.56,0.84,1.4,4.56,2.79,0.14,Matches
52,Beto,gw GNB,FW,Everton,27-021,1998,6.5,1.08,0.46,0.15,0.31,0.62,0.15,0.31,50,0.15,0.62,0.15,0.46,0.15,1.23,1.08,0,Matches
53,Philip Billing,dk DEN,MF,Bournemouth,28-255,1996,2,7,2.5,3.5,3,0.5,1.5,2,75,0.5,1.5,0,1.5,2.5,9.5,1,0,Matches
54,Yves Bissouma,ml MLI,MF,Tottenham,28-175,1996,11.7,3.08,1.97,1.2,1.62,0.26,1.37,2.48,55.2,1.11,0.6,0.34,0.26,1.11,4.19,2.56,0.26,Matches
55,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-047,2004,3.9,3.59,1.54,1.54,1.54,0.51,2.56,3.85,66.7,1.28,0.77,0.26,0.51,0.26,3.85,1.79,0,Matches
56,Willy Boly,ci CIV,DF,Nott'ham Forest,34-018,1991,1.5,3.33,0.67,2.67,0.67,0,2.67,2.67,100,0,2,0.67,1.33,2,5.33,8,0,Matches
57,Sven Botman,nl NED,DF,Newcastle Utd,25-040,2000,2.5,2,1.2,0.8,1.2,0,0.8,1.2,66.7,0.4,0.8,0.4,0.4,1.6,3.6,4.8,0,Matches
58,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-063,1996,20.4,1.42,0.93,0.49,0.34,0.59,0.69,1.47,46.7,0.78,0.59,0.1,0.49,0.64,2.06,0.93,0,Matches
59,Conor Bradley,nir NIR,DF,Liverpool,21-227,2003,4.1,1.46,0.73,0.73,0.49,0.24,1.22,2.93,41.7,1.71,0.49,0,0.49,0.73,2.2,3.9,0,Matches
60,Jarrad Branthwaite,eng ENG,DF,Everton,22-239,2002,16.1,1.55,0.87,1.12,0.43,0,0.81,1.06,76.5,0.25,1.24,0.87,0.37,1.18,2.73,6.83,0.12,Matches
61,James Bree,eng ENG,DF,Southampton,27-133,1997,8.4,1.79,1.19,0.6,1.07,0.12,0.83,2.02,41.2,1.19,0.95,0.36,0.6,0.83,2.62,2.62,0,Matches
62,Ben Brereton,cl CHI,FW,Southampton,25-309,1999,5,0.6,0.4,0,0.4,0.2,0.2,1.8,11.1,1.6,0.4,0.2,0.2,0,0.6,0.8,0,Matches
