Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-048,2000,1,2,2.09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-292,2006,1.8,0.56,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-007,1999,10.6,1.98,1.98,1.6,0,0,0,0,0.38,0.38,0.38,0.28,0,0,0,0,0.09,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-150,1997,9.1,0.99,0.99,0.55,0,0,0.44,0,0,0,0,0,0,0,0,0,0,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-051,2002,6.7,3.13,3.15,2.24,0,0.6,0.3,0,0,0.45,0.45,0.3,0,0.15,0,0,0,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-249,1997,4.7,0.85,0.86,0.64,0.21,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-146,2005,0.1,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-136,1996,24.1,1.87,1.87,1.45,0.21,0.08,0.04,0.04,0.04,0.08,0.08,0.04,0,0,0,0,0.04,Matches
9,Rayan Ait-Nouri,dz ALG,DF,Wolves,23-260,2001,22.7,1.98,1.98,1.32,0.26,0.18,0.13,0.04,0.04,0.31,0.31,0.22,0.04,0,0,0,0.04,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-310,1998,9.8,1.33,1.33,1.12,0,0.1,0.1,0,0,0.2,0.2,0.2,0,0,0,0,0,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-217,1995,19,1.79,1.79,1.79,0,0,0,0,0,0.11,0.11,0.11,0,0,0,0,0,Matches
12,Nathan Ake,nl NED,DF,Manchester City,30-003,1995,6.7,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-083,2002,0.1,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,22-083,2002,1.1,3.64,3.64,2.73,0,0,0,0.91,0,0.91,0.91,0.91,0,0,0,0,0,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-137,1998,21,3.86,3.85,3.05,0.67,0.05,0.1,0,0,0.48,0.48,0.43,0.05,0,0,0,0,Matches
16,Alisson,br BRA,GK,Liverpool,32-142,1992,17.9,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Miguel Almiron,py PAR,FW,Newcastle Utd,31-011,1994,1.7,4.71,4.59,3.53,0,0.59,0.59,0,0,0,0,0,0,0,0,0,0,Matches
