Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson,br BRA,GK,Liverpool,32-142,1992,17.9,17,0,0,1,0,16.9,0.31,-0.1,0,43,119,36.1,491,70,20.8,26.2,49,34.7,30.7,165,6,3.6,32,1.79,15.2,Matches
2,Alphonse Areola,fr FRA,GK,West Ham,31-360,1993,13.1,27,0,0,2,3,18.9,0.29,-5.1,-0.39,84,200,42,412,57,32.3,31.2,116,57.8,42.8,190,10,5.3,15,1.14,13.5,Matches
3,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-141,1994,18,22,2,0,2,0,25.3,0.27,3.3,0.18,90,226,39.8,446,67,35.7,33.7,126,53.2,41.2,230,13,5.7,30,1.67,15.6,Matches
4,Brandon Austin,eng ENG,GK,Tottenham,26-044,1999,1,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,6,16.7,29,15,5,33.3,2,2,12.4,Matches
5,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-037,1989,10,12,0,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.1,15.3,Matches
6,Ederson,br BRA,GK,Manchester City,31-188,1993,16,20,2,0,1,1,21.8,0.38,2.8,0.18,58,127,45.7,559,56,20.6,28.8,46,26.1,32.3,131,9,6.9,30,1.88,17.5,Matches
7,?ukasz Fabia?ski,pl POL,GK,West Ham,39-309,1985,11.9,20,3,1,3,0,22.3,0.3,2.3,0.19,69,205,33.7,359,52,41.5,35.4,94,59.6,44.4,198,7,3.5,11,0.93,13.7,Matches
8,Mark Flekken,nl NED,GK,Brentford,31-253,1993,23.4,40,1,0,2,1,38.7,0.27,-0.3,-0.01,150,415,36.1,1011,80,32.7,34,129,65.1,51.2,396,30,7.6,26,1.11,11.8,Matches
9,Fraser Forster,eng ENG,GK,Tottenham,36-341,1988,7,15,2,0,1,0,16.5,0.36,1.5,0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1,Matches
10,Dean Henderson,eng ENG,GK,Crystal Palace,27-346,1997,25,32,1,0,2,2,32.3,0.32,2.3,0.09,98,395,24.8,619,75,47.8,38.3,186,53.2,43.6,370,19,5.1,31,1.24,14.8,Matches
