Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-048,2000,1,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-292,2006,1.8,0,0,0,0,0.56,0,0,0.56,0.56,0,0,0,3.89,0.56,3.33,14.3,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-007,1999,10.6,0.38,0,0,2.08,0.94,0,0,2.36,3.02,0,0.09,0,4.43,1.42,0.85,62.5,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-150,1997,9.1,0.22,0,0,0.55,0.22,0.11,0,0.33,0.99,0,0,0,2.75,2.53,1.43,63.9,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-051,2002,6.7,0,0,0,1.34,0,0,2.99,0.9,1.04,0,0,0,4.48,0.45,0.15,75,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-249,1997,4.7,0.43,0,0,0,0.21,0.21,0,1.28,1.91,0,0,0,5.96,2.13,1.06,66.7,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-146,2005,0.1,0,0,0,0,0,0,10,0,10,0,0,0,0,0,10,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-136,1996,24.1,0.08,0,0,0.62,1.16,0.08,1.41,1.2,1.45,0,0,0,5.77,0.46,0.71,39.3,Matches
9,Rayan Ait-Nouri,dz ALG,DF,Wolves,23-260,2001,22.7,0.26,0.04,0.04,1.06,1.15,0.13,2.16,0.75,1.5,0,0,0,4.8,0.57,0.88,39.4,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-310,1998,9.8,0.31,0,0,0.82,0.51,0.1,0.82,0.71,1.02,0,0,0,2.76,1.73,1.63,51.5,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-217,1995,19,0.16,0,0,0.84,0.47,0,0.58,0.37,0.53,0,0,0,4.53,1.21,1.53,44.2,Matches
12,Nathan Ake,nl NED,DF,Manchester City,30-003,1995,6.7,0,0,0,0.3,0,0,0.15,0.45,1.04,0,0,0,3.28,1.94,1.49,56.5,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-083,2002,0.1,0,0,0,10,0,0,10,10,0,0,0,0,20,10,0,100,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,22-083,2002,1.1,0,0,0,1.82,0.91,0,0,0,0,0,0,0,2.73,0.91,0.91,50,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-137,1998,21,0.19,0,0,0.43,0.29,0.05,6.43,1.29,2,0,0,0,5.24,0.1,0.57,14.3,Matches
16,Alisson,br BRA,GK,Liverpool,32-142,1992,17.9,0,0,0,0,0.06,0,0,0,0,0,0,0,1.68,0.28,0,100,Matches
17,Miguel Almiron,py PAR,FW,Newcastle Utd,31-011,1994,1.7,0,0,0,0.59,1.76,1.18,0,0,1.18,0,0,0,2.35,0,1.18,0,Matches
18,Edson Alvarez,mx MEX,MF,West Ham,27-120,1997,14.7,0.54,0.07,0.07,2.18,1.02,0.2,0.34,0.88,1.36,0,0,0,4.69,1.36,1.16,54.1,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-018,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
20,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-218,2006,0.3,3.33,0,0,3.33,6.67,0,6.67,0,0,0,0,0,3.33,0,3.33,0,Matches
21,Joachim Andersen,dk DEN,DF,Crystal Palace,28-266,1996,1,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100,Matches
22,Joachim Andersen,dk DEN,DF,Fulham,28-266,1996,15.7,0.19,0.06,0,0.89,0.7,0,0.25,1.34,0.76,0,0,0,4.39,2.48,1.59,60.9,Matches
23,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-107,2002,18.2,0.27,0,0,1.43,2.09,0.16,3.08,1.04,2.14,0,0,0,7.25,1.37,0.66,67.6,Matches
24,Andre,br BRA,MF,Wolves,23-220,2001,15.6,0.19,0,0,1.28,1.22,0,0,1.28,2.24,0,0.06,0,6.03,0.13,0.38,25,Matches
25,Michail Antonio,jm JAM,FW,West Ham,34-330,1990,9.3,0.11,0,0,1.29,0.75,0.43,2.69,0,0.22,0,0,0,2.37,1.83,2.37,43.6,Matches
26,Antony,br BRA,"DF,MF",Manchester Utd,24-363,2000,1.6,0,0,0,1.25,3.13,0,3.13,1.25,1.88,0,0,0,6.88,0,0.63,0,Matches
27,Julian Araujo,mx MEX,DF,Bournemouth,23-192,2001,3.9,0.26,0,0,1.03,0.26,0,1.03,1.03,0.77,0,0,0,6.15,0.51,1.54,25,Matches
28,Cameron Archer,eng ENG,FW,Southampton,23-215,2001,11.7,0,0,0,0.94,0.85,0.43,0.26,0.17,0.43,0,0,0,2.31,0.68,1.62,29.6,Matches
29,Alphonse Areola,fr FRA,GK,West Ham,31-360,1993,13.1,0,0,0,0,0,0,0,0,0.15,0,0,0.08,1.45,0.15,0,100,Matches
30,Joe Aribo,ng NGA,MF,Southampton,28-215,1996,17.2,0.06,0,0,0.93,1.4,0.06,0.47,0.76,1.45,0,0.06,0,5.35,1.1,0.87,55.9,Matches
31,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-011,1997,13.9,0.29,0,0,0.86,0.36,0.65,1.01,0.22,0.22,0,0,0,1.65,0.36,0.65,35.7,Matches
