Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-048,2000,1,50,63,79.4,887,361,21,25,84,24,29,82.8,4,7,57.1,0,0,0,0,0,8,0,0,8,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-292,2006,1.8,51.1,61.7,82.9,1006.1,332.2,14.4,16.1,89.7,30.6,32.8,93.2,5.56,10.6,52.6,0,0,0,0,0,2.78,0,0,3.89,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-007,1999,10.6,36.6,43.1,84.9,586.6,139.5,18.7,20.8,89.6,15.7,17.5,89.2,1.51,2.55,59.3,0.28,0.07,0.03,0.22,0.94,2.83,0.09,0,3.77,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-150,1997,9.1,76.5,82.6,92.6,1384.2,517.1,30.5,31.8,96.2,41.4,42.9,96.7,4.29,6.92,61.9,0,0,0.01,0,0.11,3.63,0,0,2.86,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-051,2002,6.7,22.7,30.7,73.8,322.2,70.1,14,16.3,86.2,6.57,8.96,73.3,1.34,2.84,47.4,0.15,0.13,0.22,0.01,1.04,0.3,1.04,0.3,1.19,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-249,1997,4.7,42.6,53.6,79.4,889.1,307,16,17.2,92.6,19.1,21.7,88.2,7.23,12.3,58.6,0,0,0,0,0,1.28,0,0,1.91,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-146,2005,0.1,20,30,66.7,320,0,10,10,100,10,20,50,0,0,,0,0,0,0,10,0,0,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-136,1996,24.1,30.7,41.7,73.7,473.2,202.2,16.6,18.8,88.1,11,14.9,73.3,1.91,5.15,37.1,0.04,0.03,0.05,0.01,0.41,2.78,0.62,0.29,3.53,Matches
9,Rayan Ait-Nouri,dz ALG,DF,Wolves,23-260,2001,22.7,40.8,48.5,84.2,565.1,164.7,25,26.7,93.4,12.8,14.8,86.9,1.19,3.13,38,0.22,0.11,0.07,0.11,0.93,2.29,0.88,0.18,3.48,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-310,1998,9.8,33.6,43.2,77.8,535.6,198.2,17.6,20.4,86,13.3,16.8,78.8,1.94,3.57,54.3,0,0.08,0.03,-0.08,0.41,3.27,0.31,0.31,3.57,Matches
