Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-048,2000,1,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-292,2006,1.8,61.7,60.6,1.11,1.11,0,0,0,0,0,0,0,0,51.1,0,1.11,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-007,1999,10.6,43.1,40.8,2.17,1.98,0.09,0,0,0.19,0,0,0,0,36.6,0.09,0.57,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-150,1997,9.1,82.6,80,2.42,1.43,0,0.11,0,0.44,0,0,0,0,76.5,0.22,0.33,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-051,2002,6.7,30.7,30,0.6,0,0.15,0,2.99,0.6,0,0,0,0,22.7,0.15,1.04,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-249,1997,4.7,53.6,50,3.19,2.13,0,1.7,0,0,0,0,0,0,42.6,0.43,0.64,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-146,2005,0.1,30,30,0,0,0,0,10,0,0,0,0,0,20,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-136,1996,24.1,41.7,33.1,8.51,0.54,0,0.12,1.41,7.97,0,0,0,0,30.7,0.08,1.24,Matches
9,Rayan Ait-Nouri,dz ALG,DF,Wolves,23-260,2001,22.7,48.5,40,8.28,1.19,0.13,0.18,2.16,6.56,0.53,0.4,0.04,0,40.8,0.18,1.28,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-310,1998,9.8,43.2,38.8,4.29,0.2,0,0.31,0.82,4.08,0,0,0,0,33.6,0.1,1.22,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-217,1995,19,77.8,76,1.79,0.89,0.21,0.47,0.58,0.53,0,0,0,0,73.1,0.05,0.26,Matches
12,Nathan Ake,nl NED,DF,Manchester City,30-003,1995,6.7,70,66,3.73,1.79,0,0,0.15,1.04,0,0,0,0,65.5,0.3,0.45,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-083,2002,0.1,130,110,20,0,0,0,10,10,10,0,0,0,130,0,0,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,22-083,2002,1.1,29.1,28.2,0.91,0,0.91,0.91,0,0.91,0,0,0,0,22.7,0,0.91,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-137,1998,21,73.6,61.2,12,2.38,0.43,1.14,6.43,7.33,2.24,1.43,0.48,0.05,53.7,0.43,1.38,Matches
16,Alisson,br BRA,GK,Liverpool,32-142,1992,17.9,30.3,26.1,4.02,1.28,0.06,0,0,0,0,0,0,0,25,0.11,0,Matches
17,Miguel Almiron,py PAR,FW,Newcastle Utd,31-011,1994,1.7,38.8,37.6,0.59,0,0.59,0,0,0.59,0,0,0,0,31.8,0.59,1.18,Matches
18,Edson Alvarez,mx MEX,MF,West Ham,27-120,1997,14.7,49.5,48.2,0.88,0.68,0.2,0.68,0.34,0.2,0,0,0,0,42.7,0.41,0.48,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-018,2005,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
20,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-218,2006,0.3,30,26.7,3.33,0,0,0,6.67,0,3.33,0,0,0,26.7,0,0,Matches
21,Joachim Andersen,dk DEN,DF,Crystal Palace,28-266,1996,1,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0,Matches
22,Joachim Andersen,dk DEN,DF,Fulham,28-266,1996,15.7,71.1,67.2,3.57,3.12,0,1.34,0.25,0.32,0,0,0,0,59.2,0.32,0.19,Matches
23,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-107,2002,18.2,44.3,40.8,3.41,1.04,0.27,0.11,3.08,0.05,1.98,0.71,1.15,0,34.7,0.16,1.15,Matches
24,Andre,br BRA,MF,Wolves,23-220,2001,15.6,41.9,40.6,1.15,0.96,0.19,0.58,0,0.06,0,0,0,0,38.6,0.13,0.45,Matches
25,Michail Antonio,jm JAM,FW,West Ham,34-330,1990,9.3,20.2,18.8,1.18,0,0.32,0.65,2.69,0.75,0,0,0,0,12.3,0.22,1.51,Matches
26,Antony,br BRA,"DF,MF",Manchester Utd,24-363,2000,1.6,43.1,38.8,4.38,1.25,0,0,3.13,3.13,0,0,0,0,35,0,0.63,Matches
27,Julian Araujo,mx MEX,DF,Bournemouth,23-192,2001,3.9,42.6,36.2,6.41,0.26,0,0,1.03,6.15,0,0,0,0,33.6,0,0.51,Matches
28,Cameron Archer,eng ENG,FW,Southampton,23-215,2001,11.7,15,13.9,1.03,0,0.17,0,0.26,0,0,0,0,0,12.1,0,0.43,Matches
29,Alphonse Areola,fr FRA,GK,West Ham,31-360,1993,13.1,40.6,28.9,11.5,2.6,0,0.15,0,0,0,0,0,0,29.5,0.31,0.08,Matches
30,Joe Aribo,ng NGA,MF,Southampton,28-215,1996,17.2,44.8,44.1,0.64,0.12,0.12,0,0.47,0.23,0,0,0,0,39.5,0.06,0.81,Matches
31,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-011,1997,13.9,20.7,19.3,1.29,0,0,0.07,1.01,0.22,0,0,0,0,16.6,0.14,0.86,Matches
32,Harrison Armstrong,eng ENG,MF,Everton,18-033,2007,0.5,30,26,2,0,0,0,2,0,0,0,0,0,14,2,0,Matches
33,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-141,1994,18,31.9,22.2,9.61,2.61,0,0,0,0,0,0,0,0,23,0.11,0.06,Matches
34,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-031,1996,1,50,42,7,1,0,0,3,0,6,1,0,0,41,1,0,Matches
35,Brandon Austin,eng ENG,GK,Tottenham,26-044,1999,1,32,24,8,2,0,0,0,0,0,0,0,0,22,0,0,Matches
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-193,1997,2.9,22.1,22.1,0,0,0.34,0,0.34,0,0,0,0,0,14.1,0,1.03,Matches
37,Yasin Ayari,se SWE,MF,Brighton,21-138,2003,14.2,44.3,39.7,4.58,1.55,0.56,0.07,3.52,0.07,1.9,1.48,0.28,0,35.5,0,0.63,Matches
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-163,1991,0.2,50,40,10,0,0,5,5,0,5,5,0,0,40,0,0,Matches
39,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-163,1991,13.8,29.1,26.8,2.25,0.65,0.22,0.14,2.83,0.36,1.09,0.65,0.29,0.07,20.9,0,0.65,Matches
40,Benoit Badiashile,fr FRA,DF,Chelsea,23-332,2001,2.8,79.6,76.4,2.86,1.79,0,0.36,0,0,0,0,0,0,71.4,0.36,0,Matches
41,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-196,1997,11.5,30.6,28.9,1.48,0,0.43,0.09,2.87,0.09,1.39,0.78,0,0,21.7,0.26,2,Matches
42,Carlos Baleba,cm CMR,MF,Brighton,21-049,2004,17.8,40.2,39.9,0.22,0.17,0.22,0.11,0.22,0.06,0,0,0,0,35.1,0.11,0.28,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,31-078,1993,6.2,59.2,56.9,2.1,1.77,0,0.32,0.16,0.16,0,0,0,0,51.1,0.16,1.13,Matches
44,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-074,1997,8.7,32.5,32.2,0.23,0,0.11,0.11,2.64,0.23,0,0,0,0,25.4,0.11,0.92,Matches
45,Calvin Bassey,ng NGA,DF,Fulham,25-052,1999,24,63.9,59.7,4.13,1.63,0,0.29,0.17,0.13,0,0,0,0,57.2,0.04,0.42,Matches
46,Jan Bednarek,pl POL,DF,Southampton,28-315,1996,20.8,67.3,63.6,3.56,1.39,0,0.34,0,0.05,0,0,0,0,62.1,0.1,0.19,Matches
47,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-239,1998,11,28.5,27.7,0.82,0.27,0.27,0.27,1.73,0.18,0,0,0,0,23.1,0,1.09,Matches
48,Rodrigo Bentancur,uy URU,MF,Tottenham,27-241,1997,10.5,62.8,60.5,2.29,2.1,0.29,0.1,0.19,0.1,0,0,0,0,56.1,0,1.14,Matches
49,Sander Berge,no NOR,MF,Fulham,27-007,1998,14.6,49,47.1,1.92,1.85,0.14,0.27,0.07,0.07,0,0,0,0,44.3,0,0.48,Matches
50,Lucas Bergvall,se SWE,MF,Tottenham,19-019,2006,7.4,62.4,58.5,3.78,1.62,0,0.68,1.62,0.68,0.81,0.41,0.27,0,56.1,0.14,0.68,Matches
51,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-067,2002,21.5,51.6,41,10.2,1.77,0.05,0.05,3.44,7.67,0.79,0.65,0.09,0,40.2,0.37,0.79,Matches
52,Beto,gw GNB,FW,Everton,27-021,1998,6.5,16.8,16.3,0.46,0,0.15,0.15,0.31,0,0.15,0,0,0,9.69,0,0.62,Matches
53,Philip Billing,dk DEN,MF,Bournemouth,28-255,1996,2,51,45.5,5,0.5,0.5,0.5,5,0.5,3,1,1,0.5,35,0.5,1,Matches
54,Yves Bissouma,ml MLI,MF,Tottenham,28-175,1996,11.7,55.8,52.9,2.74,2.65,0.17,0.17,0.17,0.09,0,0,0,0,49.8,0.17,0.6,Matches
