Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-048,2000,1,73,2,19,40,15,0,73,2,0,0,1,50,41,152,68,1,0,0,1,0,40,3,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-292,2006,1.8,68.9,3.89,23.9,41.7,3.33,1.67,68.9,1.11,0.56,50,0,0,53.3,361.1,209.4,0,1.11,0,1.11,0,55.6,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-007,1999,10.6,57.5,2.55,15,32.4,10.7,0.85,57.5,0.85,0.19,22.2,0.47,55.6,27.6,123.4,53.1,0.66,1.23,0.09,1.32,0.66,30.1,0.47,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-150,1997,9.1,90.1,11.5,44.8,44,1.43,0.99,90.1,0.22,0.22,100,0,0,57.3,236.5,136.4,0.55,0.11,0,0.11,0,70.4,0.11,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-051,2002,6.7,45.8,0.75,7.46,14,25.1,5.37,45.8,4.63,1.94,41.9,2.69,58.1,30.6,201.8,93.6,3.28,2.09,1.64,3.88,0.9,31,11.3,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-249,1997,4.7,65.7,12.3,38.3,26,2.13,0,65.7,1.49,1.28,85.7,0.21,14.3,38.1,206.2,96.4,0.21,0.43,0,0.43,0.21,38.5,0,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-146,2005,0.1,80,0,0,20,60,0,80,20,0,0,10,50,50,530,230,20,0,0,0,10,50,10,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-136,1996,24.1,52.7,4.69,19.3,22,12.3,0.75,52.7,2.2,1.12,50.9,0.71,32.1,23,150.4,89,1.99,1.37,0.37,1.29,0.71,25.1,1.95,Matches
9,Rayan Ait-Nouri,dz ALG,DF,Wolves,23-260,2001,22.7,59.7,3.08,17,25.7,17.8,2.33,59.7,3.39,1.67,49.4,1.15,33.8,31.6,181,98,2.42,1.72,0.75,1.15,1.19,36.4,4.98,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-310,1998,9.8,52.1,3.57,18.5,24,10.2,2.35,52.1,1.22,0.51,41.7,0.61,50,27.7,160.4,93.6,2.04,0.71,0.1,1.22,1.12,34.2,2.55,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-217,1995,19,83.7,5.68,24.8,40.7,18.3,0.58,83.7,0.11,0.11,100,0,0,54.8,289.6,172.9,2,2.74,0,0.21,0.26,66.2,0.32,Matches
12,Nathan Ake,nl NED,DF,Manchester City,30-003,1995,6.7,77.5,7.01,27.8,41.3,8.51,0.6,77.5,0.15,0.15,100,0,0,51.3,285.4,188.5,1.64,1.64,0.15,0.3,0.45,57.2,0.3,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-083,2002,0.1,170,0,10,80,90,20,170,20,0,0,20,100,120,1120,980,40,10,0,0,0,120,10,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,22-083,2002,1.1,42.7,1.82,11.8,17.3,14.5,1.82,42.7,1.82,0.91,50,0.91,50,25.5,122.7,80.9,2.73,3.64,0,0.91,0.91,30,5.45,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-137,1998,21,84.5,3.33,21.6,36.7,26.7,1.67,84.5,1.14,0.43,37.5,0.67,58.3,44.1,207.1,108.2,2.1,1.52,0.38,0.86,0.71,52.9,3.81,Matches
16,Alisson,br BRA,GK,Liverpool,32-142,1992,17.9,32,23,31.4,0.61,0,0,32,0.06,0.06,100,0,0,21,82.4,50.8,0,0,0,0,0,19.3,0,Matches
17,Miguel Almiron,py PAR,FW,Newcastle Utd,31-011,1994,1.7,47.6,0.59,5.88,20.6,21.2,5.29,47.6,1.18,0.59,50,0.59,50,31.8,167.1,54.7,1.76,1.76,1.18,0,1.18,34.7,10.6,Matches
18,Edson Alvarez,mx MEX,MF,West Ham,27-120,1997,14.7,61.3,3.74,18.9,33.5,9.32,0.61,61.3,1.63,0.75,45.8,0.61,37.5,34,186.9,85.3,1.09,0.95,0.14,1.29,0.75,40.7,1.09,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-018,2005,0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1,Matches
20,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-218,2006,0.3,53.3,0,16.7,16.7,23.3,3.33,53.3,13.3,0,0,10,75,36.7,326.7,226.7,3.33,0,3.33,0,6.67,36.7,10,Matches
21,Joachim Andersen,dk DEN,DF,Crystal Palace,28-266,1996,1,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches
22,Joachim Andersen,dk DEN,DF,Fulham,28-266,1996,15.7,81.3,10.6,42,36.6,3.25,0.76,81.3,0.19,0.19,100,0,0,48.3,206.4,101,0.57,0.45,0.06,0.19,0.06,56.9,0.06,Matches
23,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-107,2002,18.2,59,3.24,14.3,26.7,19.1,2.64,59,3.02,1.54,50.9,1.15,38.2,30.2,167.9,81.2,1.76,1.37,0.71,2.2,1.26,34.6,3.35,Matches
24,Andre,br BRA,MF,Wolves,23-220,2001,15.6,52.6,4.29,15.9,32.2,4.87,0.06,52.6,0.96,0.45,46.7,0.32,33.3,27.2,114.3,52.4,0.32,0.64,0,0.9,0.71,34.3,0.32,Matches
25,Michail Antonio,jm JAM,FW,West Ham,34-330,1990,9.3,31.8,0.32,2.8,13.3,16.2,3.87,31.8,2.9,0.97,33.3,1.4,48.1,18.6,126.6,74.7,3.12,1.4,0.97,3.76,2.04,23.8,6.34,Matches
26,Antony,br BRA,"DF,MF",Manchester Utd,24-363,2000,1.6,63.1,1.25,13.8,16.3,33.8,5,63.1,6.88,2.5,36.4,3.75,54.5,37.5,198.1,113.8,3.13,3.75,0.63,3.13,0.63,43.1,4.38,Matches
27,Julian Araujo,mx MEX,DF,Bournemouth,23-192,2001,3.9,51.3,3.85,17.4,26.4,8.21,0.26,51.3,0,0,,0,,21.5,74.4,35.4,0.51,0,0,1.03,0.51,25.6,2.82,Matches
28,Cameron Archer,eng ENG,FW,Southampton,23-215,2001,11.7,24.2,0.94,4.1,10.4,9.91,3.76,24.1,2.22,0.94,42.3,1.2,53.8,13.7,70.3,31.5,1.28,0.43,1.03,2.31,1.62,16.5,4.02,Matches
29,Alphonse Areola,fr FRA,GK,West Ham,31-360,1993,13.1,42.9,35,42.5,0.38,0,0,42.9,0,0,,0,,23.8,98.9,52.9,0,0,0,0,0,22.1,0,Matches
30,Joe Aribo,ng NGA,MF,Southampton,28-215,1996,17.2,54.8,1.86,12.1,29,14.4,2.27,54.8,2.44,0.93,38.1,1.22,50,31,166,87,1.8,1.28,0.64,1.16,0.76,39.8,3.26,Matches
31,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-011,1997,13.9,27.1,0.79,3.17,10.3,13.8,3.53,27.1,1.01,0.43,42.9,0.58,57.1,16.9,95.3,43.1,1.8,0.94,0.43,0.79,1.29,20.6,5.68,Matches
32,Harrison Armstrong,eng ENG,MF,Everton,18-033,2007,0.5,40,0,6,24,14,4,40,2,2,100,0,0,30,220,86,2,4,0,4,6,28,0,Matches
33,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-141,1994,18,34.1,26.4,33.7,0.44,0,0,34.1,0,0,,0,,19.7,99.1,55.7,0,0,0,0,0,14.4,0,Matches
34,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-031,1996,1,58,0,3,19,36,6,58,2,2,100,0,0,40,209,95,3,5,1,1,0,40,3,Matches
35,Brandon Austin,eng ENG,GK,Tottenham,26-044,1999,1,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,Matches
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-193,1997,2.9,40,1.03,3.79,17.6,19,6.9,40,1.72,0.69,40,1.03,60,21,96.6,47.2,1.72,1.38,0.69,5.52,3.45,25.9,4.48,Matches
37,Yasin Ayari,se SWE,MF,Brighton,21-138,2003,14.2,56.8,2.75,13,28.6,16.1,2.39,56.8,2.54,1.06,41.7,0.92,36.1,29.3,146,64.9,1.41,0.92,0.35,1.83,1.27,36.5,3.59,Matches
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-163,1991,0.2,60,0,0,35,25,5,60,0,0,,0,,30,125,60,0,0,0,0,5,45,5,Matches
39,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-163,1991,13.8,43.6,1.23,6.23,22.4,16.2,3.26,43.5,3.55,1.3,36.7,1.88,53.1,26.2,174,77.5,2.17,1.96,0.51,3.26,2.25,29.3,4.57,Matches
40,Benoit Badiashile,fr FRA,DF,Chelsea,23-332,2001,2.8,87.5,5.71,35.4,48.6,3.93,0,87.5,0.36,0,0,0.36,100,50,183.6,102.9,1.07,1.43,0,0.36,0,63.6,0.71,Matches
41,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-196,1997,11.5,42.8,1.22,5.91,12.3,25.4,5.39,42.8,4.61,1.65,35.8,2,43.4,27.6,203.5,104.3,4.43,1.91,2.43,2.61,2.09,30.8,9.3,Matches
42,Carlos Baleba,cm CMR,MF,Brighton,21-049,2004,17.8,54,2.7,12.4,31.8,11.5,0.39,54,2.08,1.12,54.1,0.84,40.5,29.7,173.8,87.1,1.57,1.35,0.11,1.4,1.35,31.9,0.96,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,31-078,1993,6.2,69.2,2.58,11,41.1,18.1,2.74,69.2,1.61,1.29,80,0.32,20,41,222.1,103.2,2.26,2.1,0.32,0.81,1.29,48.7,1.29,Matches
44,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-074,1997,8.7,43,0.92,5.63,14.7,22.6,6.55,43,3.22,1.38,42.9,1.26,39.3,31.5,231.1,125.1,4.83,2.41,2.64,1.84,1.15,35.1,9.43,Matches
