Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-048,2000,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-292,2006,1.8,0,1.11,0,0,1.13,0,0,,8.9,0,0,0,0.11,0.11,0.11,-0.11,-0.11,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-007,1999,10.6,0,0.47,0.09,20,0.47,0.09,0,0,17.2,0,0,0,0.1,0.1,0.21,-0.1,-0.1,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-150,1997,9.1,0.11,0.99,0.22,22.2,0.98,0.22,0.11,0.5,11.8,0,0,0,0.09,0.09,0.09,0.02,0.02,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-051,2002,6.7,0.3,2.09,0.6,28.6,2.1,0.6,0.14,0.5,15.4,0,0,0,0.22,0.22,0.1,0.07,0.07,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-249,1997,4.7,0,0.43,0.21,50,0.43,0.21,0,0,35.3,0,0,0,0,0,0.02,0,0,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-146,2005,0.1,0,10,0,0,15,0,0,,26.3,0,0,0,0,0,0.02,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-136,1996,24.1,0.08,0.29,0.08,28.6,0.29,0.08,0.29,1,22.8,0,0,0,0.02,0.02,0.08,0.06,0.06,Matches
9,Rayan Ait-Nouri,dz ALG,DF,Wolves,23-260,2001,22.7,0.13,0.84,0.22,26.3,0.84,0.22,0.16,0.6,14.9,0,0,0,0.07,0.07,0.09,0.06,0.06,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-310,1998,9.8,0,0.41,0.2,50,0.41,0.2,0,0,9.1,0,0,0,0.06,0.06,0.14,-0.06,-0.06,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-217,1995,19,0,0.53,0.05,10,0.53,0.05,0,0,16.3,0,0,0,0.04,0.04,0.07,-0.04,-0.04,Matches
12,Nathan Ake,nl NED,DF,Manchester City,30-003,1995,6.7,0,0.45,0,0,0.45,0,0,,10,0,0,0,0.03,0.03,0.07,-0.03,-0.03,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-083,2002,0.1,0,10,10,100,9,9,0,0,9.7,0,0,0,1,1,0.07,-1,-1,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,22-083,2002,1.1,0.91,4.55,2.73,60,4.55,2.73,0.2,0.33,21.4,0,0,0,0.18,0.18,0.05,0.73,0.73,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-137,1998,21,0.1,1.57,0.29,18.2,1.57,0.29,0.06,0.33,24.3,0.1,0,0,0.06,0.06,0.04,0.03,0.03,Matches
16,Alisson,br BRA,GK,Liverpool,32-142,1992,17.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
17,Miguel Almiron,py PAR,FW,Newcastle Utd,31-011,1994,1.7,0,3.53,1.18,33.3,3.44,1.15,0,0,14.2,0,0,0,0.29,0.29,0.09,-0.29,-0.29,Matches
18,Edson Alvarez,mx MEX,MF,West Ham,27-120,1997,14.7,0,0.75,0.07,9.1,0.75,0.07,0,0,26.7,0,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-018,2005,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
20,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-218,2006,0.3,0,3.33,0,0,3.21,0,0,,20.7,0,0,0,0,0,0.02,0,0,Matches
21,Joachim Andersen,dk DEN,DF,Crystal Palace,28-266,1996,1,0,1,1,100,1,1,0,0,25.2,0,0,0,0,0,0.04,0,0,Matches
22,Joachim Andersen,dk DEN,DF,Fulham,28-266,1996,15.7,0,0.57,0.13,22.2,0.57,0.13,0,0,16.7,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
23,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-107,2002,18.2,0.05,1.37,0.27,20,1.38,0.28,0.04,0.2,20.2,0,0,0,0.07,0.07,0.05,-0.01,-0.01,Matches
24,Andre,br BRA,MF,Wolves,23-220,2001,15.6,0,0.19,0.06,33.3,0.19,0.06,0,0,24.1,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
25,Michail Antonio,jm JAM,FW,West Ham,34-330,1990,9.3,0.11,2.04,0.43,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,0.24,0.24,0.12,-0.13,-0.13,Matches
