Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-048,2000,3,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,0,0,0,0,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-292,2006,2,2,160,1.8,0,0,0,0,0,0,0,0,0.11,0.11,0,0.11,0,3.89,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-007,1999,15,10,956,10.6,0,0.28,0.28,0,0,0,0.38,0,0.1,0.1,0.07,0.17,0.66,3.77,0.47,0,0.28,0.28,0,0.28,0.1,0.07,0.17,0.1,0.17,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-150,1997,12,9,823,9.1,0.11,0,0.11,0.11,0,0,0.22,0,0.09,0.09,0,0.09,0.55,2.86,0.11,0.11,0,0.11,0.11,0.11,0.09,0,0.09,0.09,0.09,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-051,2002,17,6,600,6.7,0.3,0.15,0.45,0.3,0,0,0,0,0.22,0.22,0.13,0.36,3.28,1.19,11.3,0.3,0.15,0.45,0.3,0.45,0.22,0.14,0.36,0.22,0.36,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-249,1997,5,5,420,4.7,0,0,0,0,0,0,0.43,0,0,0,0,0,0.21,1.91,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-146,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,1,20,0,10,0,0,0,0,0,0.29,0.5,0.79,0.29,0.79,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-136,1996,25,25,2171,24.1,0.08,0.04,0.12,0.08,0,0,0.08,0,0.02,0.02,0.03,0.05,1.99,3.53,1.95,0.08,0.04,0.12,0.08,0.12,0.02,0.03,0.05,0.02,0.05,Matches
9,Rayan Ait-Nouri,dz ALG,DF,Wolves,23-260,2001,24,24,2043,22.7,0.13,0.22,0.35,0.13,0,0,0.26,0.04,0.07,0.07,0.11,0.18,2.42,3.48,4.98,0.13,0.22,0.35,0.13,0.35,0.07,0.11,0.18,0.07,0.18,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-310,1998,12,11,882,9.8,0,0,0,0,0,0,0.31,0,0.06,0.06,0.08,0.14,2.04,3.57,2.55,0,0,0,0,0,0.06,0.08,0.14,0.06,0.14,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-217,1995,20,20,1707,19,0,0,0,0,0,0,0.16,0,0.04,0.04,0.02,0.06,2,7.11,0.32,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
12,Nathan Ake,nl NED,DF,Manchester City,30-003,1995,9,7,602,6.7,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,1.64,5.82,0.3,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-083,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,1,1,1,2,40,60,10,0,0,0,0,0,0.62,0.86,1.48,0.62,1.48,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,22-083,2002,2,1,99,1.1,0.91,0.91,1.82,0.91,0,0,0,0,0.18,0.18,0.27,0.55,2.73,3.64,5.45,0.91,0.91,1.82,0.91,1.82,0.22,0.31,0.54,0.22,0.54,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-137,1998,25,23,1892,21,0.1,0.29,0.38,0.1,0,0,0.19,0,0.06,0.06,0.31,0.38,2.1,8.43,3.81,0.1,0.29,0.38,0.1,0.38,0.06,0.31,0.38,0.06,0.38,Matches
16,Alisson,br BRA,GK,Liverpool,32-142,1992,18,18,1608,17.9,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
17,Miguel Almiron,py PAR,FW,Newcastle Utd,31-011,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.29,0.29,0.18,0.47,1.76,3.53,10.6,0,0,0,0,0,0.3,0.15,0.45,0.3,0.45,Matches
18,Edson Alvarez,mx MEX,MF,West Ham,27-120,1997,20,15,1319,14.7,0,0.07,0.07,0,0,0,0.54,0.07,0.02,0.02,0.05,0.07,1.09,4.01,1.09,0,0.07,0.07,0,0.07,0.02,0.05,0.07,0.02,0.07,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-018,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
20,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-218,2006,2,0,28,0.3,0,0,0,0,0,0,3.33,0,0,0,0.33,0.33,3.33,0,10,0,0,0,0,0,0.07,0.22,0.29,0.07,0.29,Matches
21,Joachim Andersen,dk DEN,DF,Crystal Palace,28-266,1996,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
22,Joachim Andersen,dk DEN,DF,Fulham,28-266,1996,16,16,1413,15.7,0,0,0,0,0,0,0.19,0.06,0.02,0.02,0.02,0.04,0.57,4.2,0.06,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
23,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-107,2002,24,20,1636,18.2,0.05,0.27,0.33,0.05,0,0,0.27,0,0.07,0.07,0.15,0.22,1.76,4.62,3.35,0.06,0.28,0.33,0.06,0.33,0.06,0.16,0.22,0.06,0.22,Matches
24,Andre,br BRA,MF,Wolves,23-220,2001,20,18,1402,15.6,0,0,0,0,0,0,0.19,0,0.01,0.01,0.04,0.04,0.32,3.4,0.32,0,0,0,0,0,0.01,0.04,0.04,0.01,0.04,Matches
25,Michail Antonio,jm JAM,FW,West Ham,34-330,1990,14,11,836,9.3,0.11,0.11,0.22,0.11,0,0,0.11,0,0.24,0.24,0.17,0.41,3.12,1.94,6.34,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches
26,Antony,br BRA,"DF,MF",Manchester Utd,24-363,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,0.63,0.63,0.06,0.69,3.13,3.75,4.38,0,0,0,0,0,0.65,0.08,0.73,0.65,0.73,Matches
27,Julian Araujo,mx MEX,DF,Bournemouth,23-192,2001,8,5,355,3.9,0,0,0,0,0,0,0.26,0,0,0,0,0,0.51,3.59,2.82,0,0,0,0,0,0,0,0,0,0,Matches
28,Cameron Archer,eng ENG,FW,Southampton,23-215,2001,22,10,1053,11.7,0.17,0,0.17,0.17,0,0.09,0,0,0.41,0.34,0.03,0.37,1.28,0.94,4.02,0.17,0,0.17,0.17,0.17,0.41,0.03,0.44,0.34,0.37,Matches
29,Alphonse Areola,fr FRA,GK,West Ham,31-360,1993,14,13,1180,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Joe Aribo,ng NGA,MF,Southampton,28-215,1996,24,16,1549,17.2,0.17,0,0.17,0.17,0,0,0.06,0,0.15,0.15,0.09,0.23,1.8,3.43,3.26,0.17,0,0.17,0.17,0.17,0.15,0.09,0.23,0.15,0.23,Matches
31,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-011,1997,20,15,1248,13.9,0.14,0.14,0.29,0.14,0,0.07,0.29,0,0.24,0.17,0.09,0.25,1.8,1.51,5.68,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
32,Harrison Armstrong,eng ENG,MF,Everton,18-033,2007,3,0,48,0.5,0,0,0,0,0,0,2,0,0.8,0.8,0.2,0.8,2,2,0,0,0,0,0,0,0.69,0.14,0.82,0.69,0.82,Matches
33,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-141,1994,18,18,1620,18,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-031,1996,2,1,94,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,3,7,3,0,0,0,0,0,0.35,0.02,0.37,0.35,0.37,Matches
35,Brandon Austin,eng ENG,GK,Tottenham,26-044,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-193,1997,19,2,257,2.9,0.34,0,0.34,0.34,0,0,0,0,0.69,0.69,0.03,0.72,1.72,1.72,4.48,0.35,0,0.35,0.35,0.35,0.7,0.04,0.74,0.7,0.74,Matches
